mask,image,road_pixels,outside_pixels
000000.png,yolo_lane_following/dataset/images/train/s00_000000.jpg,29047,5934
000001.png,yolo_lane_following/dataset/images/train/s00_000002.jpg,29472,5717
000002.png,yolo_lane_following/dataset/images/train/s00_000004.jpg,29410,5623
000003.png,yolo_lane_following/dataset/images/train/s00_000006.jpg,29317,5792
000004.png,yolo_lane_following/dataset/images/train/s00_000006_obs.jpg,29317,5700
000005.png,yolo_lane_following/dataset/images/train/s00_000008.jpg,28493,5874
000006.png,yolo_lane_following/dataset/images/train/s00_000010.jpg,28212,6309
000007.png,yolo_lane_following/dataset/images/train/s00_000010_obs.jpg,28414,6161
000008.png,yolo_lane_following/dataset/images/train/s00_000012.jpg,29062,5419
000009.png,yolo_lane_following/dataset/images/train/s00_000012_obs.jpg,28863,5642
000010.png,yolo_lane_following/dataset/images/train/s00_000014.jpg,29526,4712
000011.png,yolo_lane_following/dataset/images/train/s00_000016.jpg,29389,4498
000012.png,yolo_lane_following/dataset/images/train/s00_000016_obs.jpg,29075,4733
000013.png,yolo_lane_following/dataset/images/train/s00_000018.jpg,29447,3937
000014.png,yolo_lane_following/dataset/images/train/s00_000018_obs.jpg,29152,3799
000015.png,yolo_lane_following/dataset/images/train/s00_000020.jpg,30986,3883
000016.png,yolo_lane_following/dataset/images/train/s00_000020_obs.jpg,31091,3440
000017.png,yolo_lane_following/dataset/images/train/s00_000022.jpg,29160,4317
000018.png,yolo_lane_following/dataset/images/train/s00_000022_obs.jpg,31009,3785
000019.png,yolo_lane_following/dataset/images/train/s00_000024.jpg,29610,3836
000020.png,yolo_lane_following/dataset/images/train/s00_000024_obs.jpg,29339,4131
000021.png,yolo_lane_following/dataset/images/train/s00_000026.jpg,28736,5475
000022.png,yolo_lane_following/dataset/images/train/s00_000026_obs.jpg,28504,5726
000023.png,yolo_lane_following/dataset/images/train/s00_000028.jpg,29652,5154
000024.png,yolo_lane_following/dataset/images/train/s00_000028_obs.jpg,29398,4767
000025.png,yolo_lane_following/dataset/images/train/s00_000030.jpg,29201,5208
000026.png,yolo_lane_following/dataset/images/train/s00_000032.jpg,30134,4765
000027.png,yolo_lane_following/dataset/images/train/s00_000034.jpg,30538,4257
000028.png,yolo_lane_following/dataset/images/train/s00_000034_obs.jpg,30227,4209
000029.png,yolo_lane_following/dataset/images/train/s00_000036.jpg,29670,5202
000030.png,yolo_lane_following/dataset/images/train/s00_000036_obs.jpg,29378,5502
000031.png,yolo_lane_following/dataset/images/train/s00_000038.jpg,28469,5499
000032.png,yolo_lane_following/dataset/images/train/s00_000038_obs.jpg,28606,5376
000033.png,yolo_lane_following/dataset/images/train/s00_000040.jpg,28540,5868
000034.png,yolo_lane_following/dataset/images/train/s00_000042.jpg,28609,6098
000035.png,yolo_lane_following/dataset/images/train/s00_000042_obs.jpg,28087,6620
000036.png,yolo_lane_following/dataset/images/train/s00_000044.jpg,28019,6691
000037.png,yolo_lane_following/dataset/images/train/s00_000044_obs.jpg,27728,6691
000038.png,yolo_lane_following/dataset/images/train/s00_000046.jpg,27627,6888
000039.png,yolo_lane_following/dataset/images/train/s00_000046_obs.jpg,27383,6881
000040.png,yolo_lane_following/dataset/images/train/s00_000048.jpg,27915,6663
000041.png,yolo_lane_following/dataset/images/train/s00_000048_obs.jpg,27915,6663
000042.png,yolo_lane_following/dataset/images/train/s00_000050.jpg,28206,6035
000043.png,yolo_lane_following/dataset/images/train/s00_000050_obs.jpg,28206,6035
000044.png,yolo_lane_following/dataset/images/train/s00_000052.jpg,28449,5423
000045.png,yolo_lane_following/dataset/images/train/s00_000052_obs.jpg,28071,5402
000046.png,yolo_lane_following/dataset/images/train/s00_000054.jpg,29813,4706
000047.png,yolo_lane_following/dataset/images/train/s00_000056.jpg,29214,5005
000048.png,yolo_lane_following/dataset/images/train/s00_000056_obs.jpg,28922,5305
000049.png,yolo_lane_following/dataset/images/train/s00_000058.jpg,29746,4658
000050.png,yolo_lane_following/dataset/images/train/s00_000058_obs.jpg,29746,4658
000051.png,yolo_lane_following/dataset/images/train/s00_000060.jpg,30232,4250
000052.png,yolo_lane_following/dataset/images/train/s00_000060_obs.jpg,30232,4250
000053.png,yolo_lane_following/dataset/images/train/s00_000062.jpg,30013,4572
000054.png,yolo_lane_following/dataset/images/train/s00_000064.jpg,30627,3856
000055.png,yolo_lane_following/dataset/images/train/s00_000064_obs.jpg,30627,3856
000056.png,yolo_lane_following/dataset/images/train/s00_000066.jpg,30877,3622
000057.png,yolo_lane_following/dataset/images/train/s00_000066_obs.jpg,30877,3622
000058.png,yolo_lane_following/dataset/images/train/s00_000068.jpg,31081,3555
000059.png,yolo_lane_following/dataset/images/train/s00_000070.jpg,31664,2817
000060.png,yolo_lane_following/dataset/images/train/s00_000070_obs.jpg,31296,3190
000061.png,yolo_lane_following/dataset/images/train/s00_000072.jpg,32287,2352
000062.png,yolo_lane_following/dataset/images/train/s00_000072_obs.jpg,32061,2585
000063.png,yolo_lane_following/dataset/images/train/s00_000074.jpg,32730,2093
000064.png,yolo_lane_following/dataset/images/train/s00_000074_obs.jpg,33040,2070
000065.png,yolo_lane_following/dataset/images/train/s00_000076.jpg,32710,2091
000066.png,yolo_lane_following/dataset/images/train/s00_000078.jpg,32579,2177
000067.png,yolo_lane_following/dataset/images/train/s00_000078_obs.jpg,32027,2707
000068.png,yolo_lane_following/dataset/images/train/s00_000080.jpg,32303,2343
000069.png,yolo_lane_following/dataset/images/train/s00_000082.jpg,31461,2828
000070.png,yolo_lane_following/dataset/images/train/s00_000082_obs.jpg,31632,2784
