frame_index,timestamp,waypoint_x,waypoint_y,corrected_x,corrected_y,waypoint_confidence,segmentation_confidence,road_occupancy,road_center,curvature,heading_error,white_left_ratio,white_right_ratio,white_center_ratio,steering,throttle,state,warning
0,1786261233.2793052,0.508457085903189,0.64,0.508457085903189,0.64,1.0,0.9338633663366337,0.9650488400488401,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.06633333333333333,0.043894389438943894,0.0,-0.0001359144802249041,0.006,NORMAL,
1,1786261233.323138,0.519756103586144,0.64,0.519756103586144,0.64,1.0,0.9396145214521453,0.9680250305250305,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.05377777777777778,0.04686468646864687,0.0,0.0094216811144961,0.012,NORMAL,
2,1786261233.3637125,0.5302048450440637,0.64,0.5302048450440637,0.64,1.0,0.9430877887788779,0.9717643467643468,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.04688888888888889,0.047964796479647964,0.0,0.020501555347890537,0.018000000000000002,NORMAL,
3,1786261233.4032094,0.5404023051468279,0.64,0.5404023051468279,0.64,1.0,0.9478316831683168,0.9771443833943834,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.04833333333333333,0.03861386138613861,0.0,0.029061569882520396,0.024,NORMAL,
4,1786261233.4398952,0.5495026600241448,0.64,0.5495026600241448,0.64,1.0,0.9382844884488449,0.970467032967033,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.044333333333333336,0.058525852585258525,0.0,0.0405373506140517,0.03,NORMAL,
5,1786261233.4772341,0.5538853311067566,0.64,0.5017672891628366,0.64,1.0,0.9162264026402639,0.9504349816849816,0.49413638420446665,0.43774021365696303,0.07015011812724581,0.04633333333333333,0.0932893289328933,0.0,0.013177600620277417,0.036,NORMAL,
6,1786261233.5184712,0.5603649713537424,0.64,0.494900594256375,0.64,1.0,0.9011927392739273,0.9523809523809523,0.4921809756991798,0.6734464825491738,0.1079232586573016,0.043666666666666666,0.12101210121012101,0.0,0.027395547363539694,0.041999999999999996,NORMAL,
7,1786261233.5569437,0.5674684546982647,0.64,0.5242540842139117,0.64,1.0,0.9020501650165017,0.9507402319902319,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.04377777777777778,0.11947194719471947,0.0,0.05421488484446133,0.047999999999999994,NORMAL,
8,1786261233.5940974,0.5709419109356195,0.64,0.5255739975841066,0.64,1.0,0.9006349834983497,0.9502823565323565,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.03755555555555556,0.12805280528052806,0.0,0.058125620215289595,0.05399999999999999,NORMAL,
9,1786261233.6296248,0.5722102416773422,0.64,0.5260559632659612,0.64,1.0,0.9189907590759075,0.9639041514041514,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.025444444444444443,0.10957095709570958,0.0,0.05953366822859425,0.05999999999999999,NORMAL,
10,1786261233.665774,0.5694153732333572,0.64,0.5169976633712615,0.64,1.0,0.9069524752475248,0.9520375457875457,0.49609179270975373,0.2020339447647519,0.03237697759719053,0.018555555555555554,0.13652365236523653,0.0,0.06056045164696244,0.06599999999999999,NORMAL,
11,1786261233.7023861,0.5621444656449575,0.64,0.5129020101733386,0.64,1.0,0.9066099009900991,0.9523809523809523,0.4958124486375698,0.2357062688922132,0.03777314053005545,0.020666666666666667,0.13498349834983497,0.0,0.06362924272516488,0.072,NORMAL,
