frame_index,timestamp,waypoint_x,waypoint_y,corrected_x,corrected_y,waypoint_confidence,segmentation_confidence,road_occupancy,road_center,curvature,heading_error,white_left_ratio,white_right_ratio,white_center_ratio,steering,throttle,state,warning
0,1786287886.29903,0.4922800980104972,0.64,0.4922800980104972,0.64,1.0,0.9338633663366337,0.8779761904761905,0.5026568079963848,0.17845300462669325,0.15745549927530145,0.06633333333333333,0.043894389438943894,0.0,0.011893234868434266,0.006,NORMAL,
1,1786287886.559572,0.5015860580422339,0.64,0.5015860580422339,0.64,1.0,0.9396145214521453,0.9400946275946276,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.05377777777777778,0.04686468646864687,0.0,0.008836664741587051,0.012,NORMAL,
2,1786287886.8379345,0.5134283446271964,0.64,0.5134283446271964,0.64,1.0,0.9430877887788779,0.8666819291819292,0.48380326325399164,1.0,0.2266388431803337,0.04688888888888889,0.047964796479647964,0.0,0.036901871303224115,0.018000000000000002,NORMAL,
3,1786287887.0479693,0.521540295820109,0.64,0.521540295820109,0.64,1.0,0.7978316831683169,0.7468330280830281,0.46536662708572163,0.6025112637112913,0.6965478039976337,0.04833333333333333,0.03861386138613861,0.0,0.1101105025224874,0.024,NORMAL,PERSPECTIVE_WARNING
4,1786287887.2518294,0.4839092905786133,0.64,0.4839092905786133,0.64,1.0,0.9382844884488449,0.7510302197802198,0.5047847963058626,0.7673421132756806,0.6710363022954365,0.044333333333333336,0.058525852585258525,0.0,0.14714517785305756,0.03,NORMAL,
5,1786287887.4560456,0.525535921267918,0.64,0.41282865008180913,0.64,1.0,0.828726402640264,0.6707875457875457,0.4575892857142859,1.0,0.4187986651835371,0.04633333333333333,0.0932893289328933,0.0,0.12753250675490868,0.027335341821782176,NORMAL,
6,1786287887.6507256,0.5324238592821094,0.64,0.42139294606539135,0.64,1.0,0.7511927392739274,0.7617139804639804,0.48298380967189775,1.0,-0.02017815611181959,0.043666666666666666,0.12101210121012101,0.0,0.07983344762297424,0.025434786099009902,NORMAL,PERSPECTIVE_WARNING
7,1786287887.9439993,0.5437155129076465,0.64,0.4003618949049065,0.64,1.0,0.8145501650165016,0.7137896825396826,0.4754464285714288,1.0,0.08120133481646305,0.04377777777777778,0.11947194719471947,0.0,0.04900562590854717,0.02554318186138614,NORMAL,
8,1786287888.1555638,0.5423623407847543,0.64,0.3804726894982078,0.64,1.0,0.8131349834983498,0.6541514041514042,0.4977678571428572,1.0,-0.0472747497219125,0.03755555555555556,0.12805280528052806,0.0,0.010155797595836305,0.025364274613861384,NORMAL,
9,1786287888.3821223,0.5483145449022621,0.64,0.3853703536975015,0.64,1.0,0.7689907590759076,0.7546550671550671,0.5362261403536417,1.0,-0.6448292134349412,0.025444444444444443,0.10957095709570958,0.0,-0.06484420240416369,0.02768481176237624,NORMAL,PERSPECTIVE_WARNING
