frame_index,timestamp,waypoint_x,waypoint_y,corrected_x,corrected_y,waypoint_confidence,segmentation_confidence,road_occupancy,road_center,curvature,heading_error,white_left_ratio,white_right_ratio,white_center_ratio,steering,throttle,state,warning
0,1786288261.5081804,0.4943401931925561,0.64,0.4943401931925561,0.64,1.0,0.9338633663366337,0.8166590354090354,0.5223109896901159,1.0,0.172677213851683,0.06633333333333333,0.043894389438943894,0.0,0.014382505166775323,0.006,NORMAL,
1,1786288261.6288893,0.4987048047771837,0.64,0.41439426119568495,0.64,1.0,0.7896145214521453,0.5228556166056166,0.5921240770805204,1.0,1.0,0.05377777777777778,0.04686468646864687,0.0,0.08636347021239243,0.012,NORMAL,PERSPECTIVE_WARNING
2,1786288261.7562556,0.5153897501657138,0.64,0.5153897501657138,0.64,1.0,0.9430877887788779,0.6776556776556777,0.5011584417646323,1.0,0.23419377771240657,0.04688888888888889,0.047964796479647964,0.0,0.11063406873053167,0.018000000000000002,NORMAL,
3,1786288261.8623369,0.5230708086596211,0.64,0.5230708086596211,0.64,1.0,0.7978316831683169,0.6456043956043956,0.5140460677470309,1.0,0.1224493860753873,0.04833333333333333,0.03861386138613861,0.0,0.09737186146733531,0.024,NORMAL,PERSPECTIVE_WARNING
4,1786288261.9652808,0.5084890838805202,0.64,0.5084890838805202,0.64,1.0,0.7007844884488449,0.5507478632478633,0.4977678571428574,1.0,0.13459399332591485,0.044333333333333336,0.058525852585258525,0.0,0.08425289656111899,0.03,NORMAL,PERSPECTIVE_WARNING
5,1786288262.0709927,0.4620535714285718,0.64,0.4620535714285718,0.64,0.0,0.828726402640264,0.5359813797313797,0.4620535714285718,1.0,0.012791991101222025,0.04633333333333333,0.0932893289328933,0.0,0.04735019993061515,0.02379754138776955,NORMAL,
6,1786288262.1830258,0.47767857142857073,0.64,0.47767857142857073,0.64,0.0,0.8136927392739274,0.6051968864468864,0.47767857142857073,1.0,0.06117908787541788,0.043666666666666666,0.12101210121012101,0.0,0.04910966603182656,0.022017194267186083,NORMAL,
7,1786288262.2897744,0.5557965695500245,0.64,0.5045955535718665,0.64,1.0,0.7270501650165017,0.41746794871794873,0.4732142857142857,0.0,3.343730521224001e-16,0.04377777777777778,0.11947194719471947,0.0,0.05256730786893506,0.02801719426718608,NORMAL,
8,1786288262.4056454,0.5489475604137296,0.64,0.5453546685454524,0.64,1.0,0.6381349834983497,0.15025946275946275,0.49776785714285704,0.0,-0.3279411764705879,0.03755555555555556,0.12805280528052806,0.0,0.03188433453056789,0.03401719426718608,NORMAL,
9,1786288262.5150368,0.5485053826066786,0.64,0.517048116819109,0.64,1.0,0.9189907590759075,0.9639041514041514,0.4977678571428568,2.9842916671075933e-15,-1.6718652606120004e-16,0.025444444444444443,0.10957095709570958,0.0,0.0321733164943115,0.04001719426718608,NORMAL,
10,1786288262.6250536,0.5488150836704967,0.64,0.3773890175090742,0.64,1.0,0.7319524752475247,0.4705815018315018,0.47767857142857073,0.0,1.0,0.018555555555555554,0.13652365236523653,0.0,0.09292062556673225,0.046017194267186076,NORMAL,
11,1786288262.7288868,0.5348646393086693,0.64,0.37208784865158007,0.64,1.0,0.669109900990099,0.552693833943834,0.48214285714285676,1.0,0.5528364849833148,0.020666666666666667,0.13498349834983497,0.0,0.11183300315677858,0.02611962368316832,NORMAL,PERSPECTIVE_WARNING
12,1786288262.820539,0.5321674012448744,0.64,0.3516878981873389,0.64,1.0,0.8325811881188118,0.6242368742368742,0.4977678571428572,1.0,0.1624026696329261,0.019666666666666666,0.11353135313531353,0.0,0.06877434595833454,0.0278226638019802,NORMAL,
13,1786288262.9356499,0.5315197173846381,0.64,0.3708167783204486,0.64,1.0,0.8318887788778878,0.5385760073260073,0.48660714285714235,1.0,0.10678531701891078,0.014,0.12035203520352035,0.0,0.04800822405798836,0.027735129425742574,NORMAL,
14,1786288263.0544314,0.5613553005864867,0.64,0.38492215708001093,0.64,1.0,0.8376207920792079,0.7733134920634921,0.4977678571428603,1.0,0.11012235817574746,0.01577777777777778,0.10902090209020902,0.0,0.03405758911748063,0.028459770534653466,NORMAL,
15,1786288263.1501226,0.5628393969550264,0.64,0.4408432565571959,0.64,1.0,0.8456432343234322,0.40991300366300365,0.4553571428571428,1.0,0.04449388209121273,0.009777777777777778,0.10165016501650165,0.0,0.04158984940707726,0.029473967683168317,NORMAL,
16,1786288263.2457745,0.5838016706287618,0.64,0.4031392776960735,0.64,1.0,0.8477957095709571,0.48401251526251526,0.46875000000000133,1.0,0.018909899888765,0.025222222222222222,0.08261826182618262,0.0,0.006280267298715114,0.029746083603960395,NORMAL,
17,1786288263.3562734,0.5874389676933794,0.64,0.5318428791520556,0.64,1.0,0.8713811881188117,0.6501831501831502,0.49776785714285715,1.4800160565355018e-15,1.6718652606120004e-16,0.03277777777777778,0.035753575357535754,0.0,0.04082812820279352,0.035746083603960394,NORMAL,
18,1786288263.4748268,0.5823204580294946,0.64,0.5298978454797794,0.64,1.0,0.7850917491749175,0.5395680708180708,0.49776785714285704,0.0,5.015595781836001e-16,0.029,0.037513751375137516,0.0,0.03675788308552301,0.04174608360396039,NORMAL,
19,1786288263.6001625,0.5703250631327282,0.64,0.5703250631327282,0.64,1.0,0.7987848184818482,0.6850961538461539,0.4466619770856684,0.44516228618230946,0.9484530080314254,0.03233333333333333,0.053025302530253025,0.0,0.11175788308552301,0.04774608360396039,NORMAL,PERSPECTIVE_WARNING
20,1786288263.7045057,0.5704958660147142,0.64,0.5704958660147142,0.64,1.0,0.858471617161716,0.6116071428571429,0.49107142857142705,1.0,0.10344827586207059,0.03922222222222222,0.050825082508250824,0.0,0.10907466826386217,0.0398757501701101,NORMAL,
21,1786288263.7896547,0.5692902696045689,0.64,0.5124910167354506,0.64,1.0,0.7676897689768977,0.351953601953602,0.45312500000000006,0.0,-0.17741935483871016,0.03611111111111111,0.0594059405940594,0.0,0.0463325731239316,0.0458757501701101,NORMAL,
22,1786288263.9390182,0.5623217748438917,0.64,0.3949769172978196,0.64,1.0,0.7308610561056106,0.39976343101343104,0.43749999999999867,1.0,1.0,0.02588888888888889,0.026842684268426842,0.0,0.10176786624137579,0.033926204712871284,NORMAL,PERSPECTIVE_WARNING
23,1786288264.0355902,0.5508393810472927,0.64,0.5508393810472927,0.64,1.0,0.710496699669967,0.539072039072039,0.4977678571428603,1.0,0.025027808676302624,0.03166666666666667,0.05500550055005501,0.0,0.128603886568464,0.038678173559957854,NORMAL,PERSPECTIVE_WARNING
24,1786288264.127193,0.5490322317597887,0.64,0.5490322317597887,0.64,1.0,0.7786244224422442,0.46153846153846156,0.4888392857142857,0.0,0.11111111111111176,0.017666666666666667,0.05962596259625962,0.0,0.12033036655057934,0.04467817355995785,NORMAL,
25,1786288264.2393727,0.5485118998533399,0.64,0.5485118998533399,0.64,1.0,0.7057640264026402,0.612408424908425,0.47544642857142794,1.0,0.4377085650723047,0.017222222222222222,0.07733773377337734,0.0,0.1546070590866822,0.037892183625965095,NORMAL,PERSPECTIVE_WARNING
26,1786288264.329081,0.53701888652811,0.64,0.4683975340235385,0.64,1.0,0.7029633663366337,0.532699938949939,0.46651785714285676,1.0,0.5717463848720791,0.010888888888888889,0.08833883388338834,0.0,0.15553079673202178,0.03039937877227723,NORMAL,PERSPECTIVE_WARNING
27,1786288264.426436,0.5345241675765491,0.64,0.35396739796480264,0.64,1.0,0.7408528052805281,0.36973443223443225,0.4977678571428563,0.0,1.0,0.009222222222222222,0.131023102310231,0.0,0.17625831245021661,0.03639937877227723,NORMAL,
28,1786288264.5285094,0.5520870288826538,0.64,0.4519805709754088,0.64,1.0,0.8397910891089108,0.35962301587301587,0.4709821428571429,1.0,0.04004449388209169,0.006,0.11518151815181518,0.0,0.15495534806738281,0.028734139485148514,NORMAL,
29,1786288264.632577,0.5588426112172329,0.64,0.5588426112172329,0.64,1.0,0.8601099009900991,0.5463980463980463,0.48437500000000044,1.0,-0.032258064516128115,0.00788888888888889,0.07942794279427942,0.0,0.15426519775991726,0.034734139485148516,NORMAL,
30,1786288264.738308,0.45758928571428525,0.64,0.45758928571428525,0.64,0.0,0.8770696369636962,0.6006562881562881,0.45758928571428525,1.0,0.20133481646273696,0.008555555555555556,0.0504950495049505,0.0,0.10373843772582231,0.029649937044990606,NORMAL,
31,1786288264.8453596,0.5796223414897297,0.64,0.40847077548038335,0.64,1.0,0.8945145214521452,0.5290750915750916,0.45758928571428586,1.0,0.07675194660734251,0.005333333333333333,0.024642464246424644,0.0,0.05038371799764402,0.03564993704499061,NORMAL,
32,1786288264.9528174,0.5843914170934258,0.64,0.3950598099240733,0.64,1.0,0.9050590759075906,0.41552197802197804,0.47767857142857073,1.0,-0.2803114571746348,0.00811111111111111,0.0042904290429042905,0.0,-0.02461628200235598,0.03698531837623763,NORMAL,
33,1786288265.0503836,0.584201893889115,0.64,0.5066759524820964,0.64,1.0,0.816094389438944,0.3689713064713065,0.46428571428571414,0.0,0.03703703703703759,0.010222222222222223,0.0046204620462046205,0.0,0.01448001685207205,0.042985318376237626,NORMAL,
34,1786288265.1497784,0.5853698145751257,0.64,0.4161905295385485,0.64,1.0,0.9001838283828382,0.579441391941392,0.49330357142857145,1.0,0.12458286985539477,0.006555555555555556,0.013971397139713971,0.0,-0.017133666902504438,0.036368989584158413,NORMAL,
35,1786288265.2226253,0.5843178473081728,0.64,0.5843178473081728,0.64,1.0,0.8937481848184817,0.5974511599511599,0.47991071428571436,1.0,0.32258064516128987,0.001,0.030253025302530254,0.0,0.05786633309749556,0.04236898958415841,NORMAL,
36,1786288265.3439887,0.5785152558031086,0.64,0.43849651149089686,0.64,1.0,0.8787006600660067,0.5555555555555556,0.48437500000000117,1.0,0.16907675194660482,0.0006666666666666666,0.055665566556655666,0.0,0.024409102308949035,0.03365308744554456,NORMAL,
37,1786288265.4599519,0.5849854437452784,0.64,0.4963123257660621,0.64,1.0,0.8742108910891088,0.6268315018315018,0.441964285714285,1.0,0.4310344827586204,0.0008888888888888889,0.06292629262926293,0.0,0.08634518970420357,0.03308549085148515,NORMAL,
38,1786288265.5687222,0.46848654400715056,0.64,0.46848654400715056,0.64,0.0,0.8237762376237624,0.7742673992673993,0.46848654400715056,1.0,0.4490367496774841,0.0032222222222222222,0.04048404840484048,0.0,0.10308069437432182,0.0300750358907653,NORMAL,PERSPECTIVE_WARNING
39,1786288265.6798005,0.6036954330755339,0.64,0.5186453359972744,0.64,1.0,0.7465633663366337,0.6073336385836385,0.5200892857142856,1.0,-0.14571746384872045,0.004888888888888889,0.02167216721672167,0.0,0.07340328734430805,0.03591129077227723,NORMAL,PERSPECTIVE_WARNING
40,1786288265.7947435,0.6192354423249229,0.64,0.5037916109406135,0.64,1.0,0.7347706270627062,0.35126678876678874,0.3996424129353233,0.0,-0.2412935323383084,0.0038888888888888888,0.0006600660066006601,0.0,0.021206067311270685,0.041911290772277225,NORMAL,
41,1786288265.9007487,0.6428505811611364,0.64,0.5127653636983744,0.64,1.0,0.9071455445544555,0.5600198412698413,0.4575892857142853,0.602150537634397,0.3225806451612887,0.0013333333333333333,0.007590759075907591,0.0,0.057661383778721716,0.047911290772277224,NORMAL,
42,1786288266.0150454,0.6650883690540378,0.64,0.5336710802405344,0.64,1.0,0.8920669966996698,0.7195131257631258,0.4845651622718054,0.4543610547667367,0.11764705882352958,0.006222222222222222,0.027832783278327833,0.0,0.06959712574906049,0.05391129077227722,NORMAL,
43,1786288266.1268973,0.6773633205297808,0.64,0.5660141332298879,0.64,1.0,0.9026986798679867,0.6240842490842491,0.4977678571428569,5.6914075702428685e-15,-8.359326303060002e-16,0.0054444444444444445,0.01089108910891089,0.0,0.07279721579435358,0.05991129077227722,NORMAL,
44,1786288266.237941,0.6923236080407291,0.64,0.5204936853411914,0.64,1.0,0.8150580858085809,0.5071733821733821,0.5089285714285711,0.0,0.6774193548387075,0.006888888888888889,0.009680968096809682,0.0,0.124008471155284,0.06591129077227723,NORMAL,
45,1786288266.3473513,0.7028029601813651,0.64,0.505100839154633,0.64,1.0,0.8088000000000001,0.4490613553113553,0.4977678571428569,0.0,0.8225806451612881,0.0047777777777777775,0.022222222222222223,0.0,0.18101151282943465,0.07191129077227723,NORMAL,
46,1786288266.4612284,0.525643721158642,0.64,0.525643721158642,0.64,0.0,0.9879590759075908,0.8905677655677655,0.525643721158642,0.599372222762333,0.03541365986094333,0.004666666666666667,0.015401540154015401,0.0,0.14303879712151596,0.06821195489065733,NORMAL,
47,1786288266.5891287,0.4905336503681528,0.64,0.4905336503681528,0.64,0.0,0.9962976897689769,0.9666132478632479,0.4905336503681528,0.7411525278432111,0.11093849109678999,0.001,0.005170517051705171,0.0,0.10449613510890848,0.05775420145727263,NORMAL,
48,1786288266.6722727,0.7429831743616264,0.64,0.7429831743616264,0.64,1.0,0.8474,0.6564789377289377,0.6091106930654607,1.0,0.6680210698559484,0.004333333333333333,0.0,0.0,0.1794961351089085,0.04807616488080001,NORMAL,PERSPECTIVE_WARNING
49,1786288266.7949343,0.7230026069962322,0.64,0.4892499192299966,0.64,1.0,0.8250000000000001,0.4175824175824176,0.5245535714285708,0.0,1.0,0.0,0.0,0.0,0.1874930415144183,0.054076164880800005,NORMAL,
