frame,file,gt_x,gt_y,target_x,error_x,jump_px,steering,latency_ms,lane_confident,obstacle,decision,case
0,77_153_68ea920e-90ab-11f1-b0cc-488f4cdfb482.jpg,77,153,84,7,0,-0.25000,450.060,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
1,77_153_6b2f4b40-90ab-11f1-b0cc-488f4cdfb482.jpg,77,153,56,21,28,-0.42857,28.403,1,0,follow:active_lane,lane:tracked_pair:curve|follow:active_lane
2,68_149_6d03b500-90ab-11f1-b0cc-488f4cdfb482.jpg,68,149,84,16,28,-0.33333,27.909,1,0,follow:active_lane,lane:tracked_pair:curve|follow:active_lane
3,56_149_6e223f92-90ab-11f1-b0cc-488f4cdfb482.jpg,56,149,56,0,28,-0.39286,27.115,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
4,56_149_6ee92d46-90ab-11f1-b0cc-488f4cdfb482.jpg,56,149,34,22,22,-0.47755,26.023,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
5,43_149_6fdea5a0-90ab-11f1-b0cc-488f4cdfb482.jpg,43,149,62,19,28,-0.46650,24.710,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
6,44_153_70fcb756-90ab-11f1-b0cc-488f4cdfb482.jpg,44,153,34,10,28,-0.51130,25.575,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
7,33_153_720c4b66-90ab-11f1-b0cc-488f4cdfb482.jpg,33,153,28,5,6,-0.58090,25.814,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
8,19_153_72d5cf22-90ab-11f1-b0cc-488f4cdfb482.jpg,19,153,56,37,28,-0.57398,24.135,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
9,23_153_73f843c6-90ab-11f1-b0cc-488f4cdfb482.jpg,23,153,71,48,15,-0.55503,25.731,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
10,23_153_74c1bbfc-90ab-11f1-b0cc-488f4cdfb482.jpg,23,153,74,51,3,-0.51294,24.121,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
11,11_141_75a1b4f0-90ab-11f1-b0cc-488f4cdfb482.jpg,11,141,46,35,28,-0.51312,24.398,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
12,11_141_7678a7bc-90ab-11f1-b0cc-488f4cdfb482.jpg,11,141,18,7,28,-0.58181,24.524,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
13,11_141_77345138-90ab-11f1-b0cc-488f4cdfb482.jpg,11,141,16,5,2,-0.63083,26.621,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
14,11_141_77f38d1e-90ab-11f1-b0cc-488f4cdfb482.jpg,11,141,16,5,0,-0.67329,24.062,1,0,follow:active_lane,lane:nearest_corridor:curve|follow:active_lane
