epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,118.179,0.90319,4.72368,0.00645,0.00336,0.41731,0.00578,0.00221,0.68577,4.8797,0.00476,0.00032381,0.00032381,0.00032381
2,246.494,0.79997,3.38421,0.00565,0.00815,0.89682,0.31146,0.26136,0.63678,3.96412,0.00419,0.000635457,0.000635457,0.000635457
3,369.458,0.82692,2.58738,0.00595,0.66425,0.391,0.59783,0.48148,0.78376,2.9569,0.00519,0.000925105,0.000925105,0.000925105
4,476.434,0.7974,2.22839,0.00557,0.5827,0.60271,0.687,0.58224,0.71486,2.38391,0.0048,0.000901,0.000901,0.000901
5,579.935,0.76332,1.95112,0.00542,0.66592,0.70135,0.7322,0.61332,0.71127,1.91207,0.00485,0.000868,0.000868,0.000868
6,684.435,0.79797,1.75664,0.00542,0.69039,0.8089,0.7749,0.60918,0.87888,1.74563,0.00612,0.000835,0.000835,0.000835
7,789.179,0.76153,1.60126,0.00516,0.67662,0.76986,0.77644,0.6642,0.64192,1.50048,0.00435,0.000802,0.000802,0.000802
8,900.755,0.75621,1.51898,0.00535,0.69411,0.83243,0.79926,0.68735,0.64909,1.37367,0.00428,0.000769,0.000769,0.000769
9,1005.04,0.73685,1.41859,0.00515,0.63942,0.81969,0.78634,0.63235,0.79894,1.41589,0.0055,0.000736,0.000736,0.000736
10,1109.62,0.74019,1.38879,0.00514,0.65169,0.76169,0.7874,0.64168,0.7381,1.34167,0.00495,0.000703,0.000703,0.000703
11,1219.06,0.72287,1.3012,0.00502,0.75434,0.82257,0.81739,0.66464,0.813,1.23466,0.00569,0.00067,0.00067,0.00067
12,1321.09,0.6742,1.20894,0.00464,0.70187,0.82189,0.80739,0.68303,0.65279,1.15064,0.00433,0.000637,0.000637,0.000637
13,1429.16,0.65159,1.16253,0.00455,0.66894,0.86955,0.80495,0.64747,0.78881,1.15383,0.00551,0.000604,0.000604,0.000604
14,1533.71,0.65148,1.11051,0.00448,0.69739,0.82399,0.80986,0.65139,0.81209,1.07025,0.00553,0.000571,0.000571,0.000571
15,1641.5,0.65027,1.06069,0.00439,0.73424,0.84732,0.81649,0.71906,0.56799,0.9862,0.00377,0.000538,0.000538,0.000538
16,1753.48,0.66464,1.0349,0.00454,0.68931,0.7937,0.81065,0.73213,0.4958,0.94667,0.00324,0.000505,0.000505,0.000505
17,1859.05,0.6672,0.98762,0.00447,0.70234,0.88036,0.81513,0.70683,0.58671,0.92724,0.00379,0.000472,0.000472,0.000472
18,1973.59,0.63925,0.98231,0.0043,0.67538,0.87992,0.81437,0.73245,0.51601,0.89202,0.00342,0.000439,0.000439,0.000439
19,2079.58,0.6122,0.95182,0.00424,0.72151,0.86405,0.81563,0.73351,0.51666,0.87065,0.00344,0.000406,0.000406,0.000406
20,2185.01,0.62722,0.9245,0.00421,0.71241,0.87394,0.81984,0.72479,0.55721,0.88742,0.00375,0.000373,0.000373,0.000373
21,2294.36,0.57417,0.90632,0.0039,0.74573,0.80885,0.82903,0.72151,0.57315,0.86677,0.0037,0.00034,0.00034,0.00034
22,2399.54,0.56896,0.89753,0.00382,0.76045,0.80519,0.82949,0.70599,0.63689,0.87051,0.00443,0.000307,0.000307,0.000307
23,2506.19,0.5643,0.85327,0.00383,0.72628,0.85649,0.82794,0.72752,0.54799,0.82038,0.00352,0.000274,0.000274,0.000274
24,2615.54,0.55609,0.84304,0.00374,0.74401,0.83251,0.82461,0.74076,0.51646,0.79251,0.00346,0.000241,0.000241,0.000241
25,2720.43,0.5573,0.85317,0.00378,0.7538,0.82708,0.82864,0.74628,0.4813,0.77858,0.00307,0.000208,0.000208,0.000208
26,2829.37,0.47549,0.82197,0.00342,0.75502,0.87438,0.82767,0.74843,0.47715,0.78396,0.00319,0.000175,0.000175,0.000175
27,2940.13,0.49798,0.79396,0.00356,0.7432,0.86972,0.82796,0.7332,0.52907,0.78517,0.00352,0.000142,0.000142,0.000142
28,3052.55,0.48346,0.77827,0.00346,0.72384,0.8672,0.82937,0.76105,0.43808,0.75306,0.00285,0.000109,0.000109,0.000109
29,3169.74,0.46704,0.76703,0.00333,0.73494,0.8592,0.82855,0.74379,0.47965,0.76158,0.00318,7.6e-05,7.6e-05,7.6e-05
30,3271.18,0.47556,0.76388,0.00336,0.72507,0.8651,0.82782,0.74649,0.47614,0.75393,0.00316,4.3e-05,4.3e-05,4.3e-05
