epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21341,1.02113,4.53074,0.00586,0.00348,0.33073,0.02438,0.01279,0.57831,4.91993,0.0038,0.00032381,0.00032381,0.00032381
2,5.90894,0.91069,3.41119,0.00536,0.00733,0.95496,0.39385,0.32866,0.61445,3.94114,0.00402,0.000649011,0.000649011,0.000649011
3,8.5624,0.89935,2.59827,0.00522,0.72275,0.27912,0.56755,0.47574,0.65427,3.15387,0.00426,0.000965962,0.000965962,0.000965962
4,11.1715,0.85786,2.21173,0.00483,0.57094,0.64535,0.67704,0.55516,0.71939,2.50321,0.00473,0.000962875,0.000962875,0.000962875
5,13.8042,0.81723,1.89535,0.00451,0.56152,0.70873,0.72155,0.62271,0.6425,2.06981,0.00419,0.0009505,0.0009505,0.0009505
6,16.398,0.79079,1.78491,0.00461,0.64947,0.74242,0.74015,0.63443,0.62067,1.78186,0.00392,0.000938125,0.000938125,0.000938125
7,19.0684,0.78865,1.65204,0.00455,0.66049,0.79623,0.7764,0.66116,0.66323,1.6674,0.00449,0.00092575,0.00092575,0.00092575
8,21.6894,0.76174,1.51887,0.00426,0.63488,0.80023,0.78151,0.67434,0.60268,1.49552,0.00389,0.000913375,0.000913375,0.000913375
9,24.2493,0.74626,1.40096,0.00402,0.64311,0.79985,0.77983,0.69861,0.51324,1.43991,0.00332,0.000901,0.000901,0.000901
10,26.8379,0.70892,1.32459,0.00383,0.66923,0.84236,0.79541,0.70142,0.56447,1.35265,0.00373,0.000888625,0.000888625,0.000888625
11,29.5085,0.72195,1.30265,0.00408,0.61584,0.81901,0.79482,0.69896,0.56762,1.29716,0.00368,0.00087625,0.00087625,0.00087625
12,32.0779,0.73484,1.25997,0.0041,0.58168,0.87352,0.80225,0.6941,0.61804,1.27237,0.00413,0.000863875,0.000863875,0.000863875
13,34.6269,0.68563,1.184,0.00393,0.6985,0.85111,0.80956,0.70984,0.56217,1.14567,0.00364,0.0008515,0.0008515,0.0008515
14,37.2147,0.68913,1.13843,0.00389,0.67703,0.85326,0.81745,0.7231,0.53849,1.08569,0.00361,0.000839125,0.000839125,0.000839125
15,39.8368,0.68874,1.11073,0.00385,0.67042,0.85853,0.80797,0.72142,0.50578,1.04984,0.00341,0.00082675,0.00082675,0.00082675
16,42.4031,0.65595,1.05032,0.00376,0.69114,0.82176,0.8264,0.72707,0.53066,0.98993,0.00353,0.000814375,0.000814375,0.000814375
