epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.23381,1.36036,4.8001,0.01269,0.00492,0.15155,0.07337,0.05539,0.95068,5.08987,0.00866,0.000269733,0.000269733,0.000269733
2,6.01004,1.13902,3.5675,0.00908,0.32056,0.44198,0.3161,0.22859,1.10312,3.79392,0.00963,0.000540626,0.000540626,0.000540626
3,8.67566,1.12523,2.86241,0.00819,0.7384,0.13865,0.37856,0.28735,0.93379,3.44724,0.00927,0.000804646,0.000804646,0.000804646
4,11.287,1.09653,2.51231,0.0078,0.40592,0.57803,0.50235,0.38582,0.81944,2.75146,0.00923,0.000802075,0.000802075,0.000802075
5,13.9224,1.03885,2.1749,0.00697,0.51991,0.63791,0.63126,0.50894,0.85569,2.37922,0.00914,0.000791767,0.000791767,0.000791767
6,16.5524,1.00704,2.04401,0.0077,0.68335,0.60761,0.67165,0.53707,0.8516,2.21123,0.01104,0.000781458,0.000781458,0.000781458
7,19.1712,0.98393,1.91986,0.00795,0.65341,0.6011,0.69517,0.57185,0.76905,2.08814,0.00768,0.00077115,0.00077115,0.00077115
8,21.9034,0.922,1.71346,0.00655,0.66005,0.66905,0.70161,0.60022,0.68769,1.8575,0.00853,0.000760841,0.000760841,0.000760841
9,24.5,0.87888,1.62936,0.00658,0.57909,0.69929,0.71552,0.59818,0.69936,1.89984,0.00753,0.000750533,0.000750533,0.000750533
10,27.106,0.87112,1.56532,0.00625,0.70133,0.68759,0.72882,0.62615,0.69719,1.68501,0.00574,0.000740225,0.000740225,0.000740225
11,29.7252,0.85357,1.45876,0.0067,0.58981,0.79023,0.75574,0.64247,0.75057,1.60944,0.0095,0.000729916,0.000729916,0.000729916
12,32.3764,0.82101,1.42425,0.00623,0.66288,0.7961,0.78138,0.65963,0.72423,1.49732,0.00785,0.000719608,0.000719608,0.000719608
13,34.9876,0.84061,1.36779,0.0068,0.61046,0.8644,0.79153,0.67016,0.6834,1.39017,0.00873,0.000709299,0.000709299,0.000709299
14,37.6418,0.85578,1.35914,0.00643,0.64479,0.78322,0.77981,0.67363,0.64713,1.45827,0.00764,0.000698991,0.000698991,0.000698991
15,40.267,0.80924,1.28029,0.00596,0.67338,0.86046,0.82273,0.70621,0.65159,1.27547,0.00637,0.000688683,0.000688683,0.000688683
16,42.9176,0.77853,1.20807,0.00584,0.6964,0.8451,0.8137,0.71547,0.59764,1.21859,0.00636,0.000678374,0.000678374,0.000678374
17,45.5369,0.82962,1.20147,0.00645,0.66803,0.84558,0.81199,0.65775,0.78274,1.23485,0.00731,0.000668066,0.000668066,0.000668066
18,48.1614,0.79026,1.15763,0.00558,0.73153,0.86328,0.82503,0.7258,0.61346,1.10679,0.00658,0.000657758,0.000657758,0.000657758
19,50.753,0.77882,1.09987,0.00534,0.7174,0.87174,0.8348,0.73049,0.64701,1.11413,0.00577,0.000647449,0.000647449,0.000647449
20,53.4818,0.75128,1.04652,0.00513,0.69941,0.84799,0.82911,0.74166,0.5346,1.0641,0.00472,0.000637141,0.000637141,0.000637141
21,56.0553,0.69617,0.99367,0.00513,0.68563,0.86249,0.81624,0.7441,0.51206,1.05834,0.0042,0.000626832,0.000626832,0.000626832
22,58.6589,0.72433,1.01606,0.00527,0.67033,0.86834,0.83113,0.7522,0.51839,0.99815,0.005,0.000616524,0.000616524,0.000616524
23,61.2879,0.72888,0.96331,0.00504,0.71747,0.8443,0.82129,0.73617,0.53246,0.98279,0.00492,0.000606216,0.000606216,0.000606216
24,63.9316,0.74668,0.98036,0.00517,0.72556,0.81778,0.82973,0.7422,0.55342,0.94684,0.00505,0.000595907,0.000595907,0.000595907
