epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49547,0.54757,0.72009,0.00529,0.74571,0.8804,0.84811,0.77596,0.42914,0.67723,0.00356,0.000272708,0.000272708,0.000272708
2,8.46897,0.57571,0.71319,0.00521,0.72707,0.84607,0.83703,0.7647,0.45496,0.68433,0.00427,0.000495888,0.000495888,0.000495888
3,12.3566,0.67518,0.71058,0.00576,0.73562,0.87875,0.84791,0.7538,0.50634,0.69218,0.00377,0.000664089,0.000664089,0.000664089
4,16.129,0.65726,0.71008,0.00588,0.70134,0.86814,0.85318,0.76274,0.50277,0.70264,0.00444,0.000585599,0.000585599,0.000585599
5,19.9437,0.67884,0.71646,0.00672,0.71844,0.8662,0.84233,0.742,0.56412,0.67439,0.00521,0.000503132,0.000503132,0.000503132
6,23.7624,0.6214,0.66776,0.00534,0.78312,0.86861,0.85254,0.7716,0.48517,0.63121,0.00407,0.000420665,0.000420665,0.000420665
7,27.5813,0.54869,0.63867,0.00475,0.75371,0.88559,0.86316,0.77741,0.49047,0.62293,0.00399,0.000338198,0.000338198,0.000338198
8,31.4182,0.55542,0.60243,0.00464,0.77645,0.86663,0.85654,0.79484,0.42044,0.61759,0.00342,0.000255731,0.000255731,0.000255731
9,35.1957,0.52581,0.57683,0.00412,0.78258,0.84221,0.8519,0.79309,0.40173,0.60282,0.00324,0.000173264,0.000173264,0.000173264
10,38.9739,0.49216,0.57819,0.00397,0.78537,0.86534,0.85575,0.8057,0.37002,0.59219,0.00333,9.0797e-05,9.0797e-05,9.0797e-05
