output_frame,source_video,source_frame,source_time_s,target_x,target_y,filtered_x,filtered_y,confidence,steering_raw,steering,throttle_preview,state,latency_ms
0,1786085420908_202326730929621029_7442541399315262114.mp4,0,0.0,0.43939071893692017,0.5974525213241577,0.43939071893692017,0.5974525213241577,0.7683178186416626,-0.19028358616949861,0.0,0.0,LANE_LOST,10.66020899452269
1,1786085420908_202326730929621029_7442541399315262114.mp4,6,0.20040160642570282,0.47613629698753357,0.596592128276825,0.4504143923521041,0.5971944034099579,0.7682904422283172,-0.1072269885463667,0.0,0.0,LANE_LOST,5.4604639881290495
2,1786085420908_202326730929621029_7442541399315262114.mp4,12,0.40080321285140563,0.5427311062812805,0.6000969409942627,0.478109406530857,0.5980651646852493,0.766506170630455,-0.029134764049413977,-0.007283691012353494,0.008,NORMAL,5.548204993829131
3,1786085420908_202326730929621029_7442541399315262114.mp4,18,0.6012048192771084,0.5720362663269043,0.6039860248565674,0.5062874644696711,0.5998414227366446,0.7638312645554542,0.037289194973160356,0.0038595304840249684,0.016,NORMAL,5.460023006889969
4,1786085420908_202326730929621029_7442541399315262114.mp4,24,0.8016064257028113,0.540672779083252,0.5984268188476562,0.5166030588537454,0.599417041569948,0.7636564182698726,0.04718217853688329,0.01469019249723955,0.024,NORMAL,5.128277989570051
5,1786085420908_202326730929621029_7442541399315262114.mp4,30,1.002008032128514,0.5153555870056152,0.6005141735076904,0.5162288172993063,0.5997461811512708,0.7659881755930185,0.037758926813362126,0.020457376076270194,0.032,NORMAL,5.452532990602776
6,1786085420908_202326730929621029_7442541399315262114.mp4,36,1.202409638554217,0.504984974861145,0.5989885330200195,0.5128556645678579,0.5995188867118953,0.7677574844812749,0.027447313098246773,0.022204860331764338,0.04,NORMAL,38.07544498704374
7,1786085420908_202326730929621029_7442541399315262114.mp4,42,1.4028112449799197,0.5056588649749756,0.6008855700492859,0.5106966246899932,0.5999288917131125,0.7675413672287045,0.02336115054241894,0.02249393288442799,0.048,NORMAL,16.98127100826241
8,1786085420908_202326730929621029_7442541399315262114.mp4,48,1.6032128514056225,0.5268643498420715,0.6053417921066284,0.5155469422356167,0.6015527618311672,0.7650158116133158,0.04037116096125,0.02696323990363349,0.056,NORMAL,47.01067000860348
9,1786085420908_202326730929621029_7442541399315262114.mp4,54,1.8036144578313253,0.5240458846092224,0.6058564186096191,0.5180966249476984,0.6028438588647028,0.7641936159370145,0.04453993396220415,0.03135741341827616,0.064,NORMAL,22.43095898302272
10,1786085420908_202326730929621029_7442541399315262114.mp4,60,2.004016064257028,0.5057806968688965,0.6059231162071228,0.5144018465240577,0.6037676360674288,0.7654862196610828,0.030883811026461955,0.031239012820322605,0.07200000000000001,NORMAL,20.888911007205024
