frame,time_s,target_x,target_jump_px,steering,throttle_preview,control_state,lane_confident,obstacle,decision,case,latency_ms
0,0.000,112,0,0.00000,0.00800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,56.028
1,0.033,114,2,0.00000,0.01600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.741
2,0.067,117,3,0.04065,0.02400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.908
3,0.100,119,2,0.06829,0.03200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,52.056
4,0.133,121,2,0.09388,0.04000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.603
5,0.167,123,2,0.11861,0.04800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.429
6,0.200,125,2,0.14298,0.05600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.008
7,0.233,126,1,0.15907,0.06400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.333
8,0.267,127,1,0.17281,0.07200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.625
9,0.300,128,1,0.18558,0.08000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.873
10,0.333,127,1,0.18167,0.08800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.309
11,0.367,126,1,0.17304,0.09600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.303
12,0.400,126,0,0.17055,0.10400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.969
13,0.433,125,1,0.16138,0.11200,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.641
14,0.467,126,1,0.16679,0.12000,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.180
15,0.500,128,2,0.18419,0.12800,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.300
16,0.533,132,4,0.22174,0.13600,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.036
17,0.567,135,3,0.25734,0.14400,follow,1,0,follow:centerline,centerline:locked|follow:centerline,56.470
18,0.600,136,1,0.27701,0.14909,follow,1,0,follow:centerline,centerline:locked|follow:centerline,48.150
19,0.633,136,0,0.28413,0.14829,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.948
20,0.667,136,0,0.28712,0.14796,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.747
21,0.700,136,0,0.28838,0.14782,follow,1,0,follow:centerline,centerline:history|follow:centerline,48.397
22,0.733,134,2,0.27264,0.14957,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.581
23,0.767,131,3,0.24392,0.15278,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.411
24,0.800,130,1,0.22715,0.15465,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.644
25,0.833,128,2,0.20498,0.15712,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.932
26,0.867,126,2,0.18169,0.15972,follow,1,0,follow:centerline,centerline:locked|follow:centerline,54.796
27,0.900,126,0,0.17418,0.16056,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.487
28,0.933,127,1,0.17916,0.16001,follow,1,0,follow:centerline,centerline:locked|follow:centerline,50.890
29,0.967,129,2,0.19638,0.15808,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.515
30,1.000,131,2,0.21759,0.15572,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.567
31,1.033,133,2,0.24048,0.15316,follow,1,0,follow:centerline,centerline:locked|follow:centerline,49.699
32,1.067,135,2,0.26407,0.15053,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.461
33,1.100,136,1,0.27984,0.14877,follow,1,0,follow:centerline,centerline:locked|follow:centerline,51.374
34,1.133,137,1,0.29345,0.14725,follow,1,0,follow:centerline,centerline:locked|follow:centerline,53.063
35,1.167,137,0,0.29802,0.14674,follow,1,0,follow:centerline,centerline:locked|follow:centerline,45.402
36,1.200,137,0,0.29995,0.14653,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.566
37,1.233,137,0,0.30075,0.14644,follow,1,0,follow:centerline,centerline:history|follow:centerline,50.627
38,1.267,138,1,0.30922,0.14549,follow,1,0,follow:centerline,centerline:locked|follow:centerline,44.263
39,1.300,140,2,0.32790,0.14341,follow,1,0,follow:centerline,centerline:locked|follow:centerline,47.151
40,1.333,142,2,0.34973,0.14097,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.347
41,1.367,146,4,0.38914,0.13657,follow,1,0,follow:centerline,centerline:locked|follow:centerline,46.018
