epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96634,1.84723,4.31271,3.99816,0.02528,5.29275,0.01067,0.68104,0.20272,0.14847,0.00916,0.62615,0.19904,0.12614,0.97832,3.4898,3.67691,0.00942,0,0.000451263,0.000451263,0.000451263
2,4.9744,1.36067,2.38337,2.61779,0.01318,2.2158,0.01641,0.60242,0.38597,0.29306,0.00695,0.52381,0.114,0.03222,1.16363,6.31341,3.06554,0.01189,0,0.000912291,0.000912291,0.000912291
3,6.88944,1.32941,2.16573,1.80665,0.0125,1.36336,0.01231,0.93524,0.4775,0.27683,0.01161,0.90961,0.39712,0.18405,1.17019,2.06764,2.89048,0.01641,0,0.0013576,0.0013576,0.0013576
4,8.83406,1.33071,2.05527,1.47643,0.01241,0.96883,0.93949,0.08198,0.69107,0.4928,0.84185,0.18833,0.63338,0.33151,1.1254,2.01687,2.26015,0.01248,0,0.00135826,0.00135826,0.00135826
5,10.7933,1.30244,1.97884,1.319,0.0117,0.75537,0.80384,0.45493,0.76757,0.49374,0.75979,0.37857,0.70422,0.34354,1.28714,2.80278,1.85245,0.01769,0,0.00133469,0.00133469,0.00133469
6,12.8781,1.30129,1.88841,1.23367,0.01175,0.60152,0.77192,0.77965,0.84081,0.61129,0.74141,0.74166,0.77271,0.49113,1.30821,2.26835,1.37763,0.01167,0,0.00131111,0.00131111,0.00131111
7,14.803,1.27252,1.82024,1.13537,0.01077,0.52113,0.7642,0.88253,0.83067,0.57275,0.70875,0.81388,0.76245,0.40634,1.19048,2.57036,1.18111,0.01457,0,0.00128753,0.00128753,0.00128753
8,16.7569,1.24918,1.80971,1.06564,0.01055,0.48452,0.78333,0.82531,0.82139,0.569,0.74143,0.77038,0.76833,0.40565,1.22559,2.07988,1.24522,0.01562,0,0.00126395,0.00126395,0.00126395
9,18.7159,1.25168,1.79397,1.04286,0.01022,0.49654,0.76429,0.93844,0.86254,0.58099,0.75338,0.91905,0.84437,0.46335,1.29598,1.64707,1.2161,0.01658,0,0.00124037,0.00124037,0.00124037
10,20.5997,1.21575,1.72144,0.97593,0.01004,0.46047,0.85912,0.7967,0.88269,0.64807,0.82802,0.75211,0.80052,0.49935,1.2524,2.51142,0.99062,0.01429,0,0.00121679,0.00121679,0.00121679
11,22.5133,1.22931,1.69681,0.9521,0.00978,0.4469,0.84765,0.86424,0.88133,0.6463,0.81221,0.8329,0.83491,0.44821,1.09651,1.56151,0.99895,0.01341,0,0.00119322,0.00119322,0.00119322
12,24.4389,1.18573,1.64655,0.90686,0.00965,0.42497,0.85229,0.82824,0.85192,0.62691,0.84131,0.81798,0.83669,0.47797,1.16059,1.57437,1.12635,0.01342,0,0.00116964,0.00116964,0.00116964
13,26.3118,1.14011,1.68165,0.87319,0.00888,0.42086,0.75151,0.88331,0.84262,0.60291,0.72366,0.85522,0.83014,0.44375,1.14324,1.69826,1.41033,0.0139,0,0.00114606,0.00114606,0.00114606
14,28.2221,1.18011,1.66848,0.89326,0.00901,0.40751,0.80475,0.89428,0.88894,0.63829,0.79245,0.87488,0.87416,0.49234,1.22218,1.75373,1.03852,0.01407,0,0.00112248,0.00112248,0.00112248
