epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04717,1.89922,0.84828,0.55882,0.24337,0.67365,1.00534,0.71113,0,0.0003535,0.0003535,0.0003535
2,7.89814,0.7346,0.60906,0.26552,0.38754,0.73642,1.12756,0.53686,0,0.000714876,0.000714876,0.000714876
3,11.5938,0.41304,0.46395,0.18304,0.52323,0.84751,0.80386,0.40282,0,0.00106709,0.00106709,0.00106709
4,15.2919,0.32604,0.37814,0.15067,0.67683,0.87657,0.49961,0.265,0,0.00106975,0.00106975,0.00106975
5,19.0013,0.27599,0.29728,0.1328,0.70839,0.86241,0.67183,0.23505,0,0.00105601,0.00105601,0.00105601
6,22.6805,0.25183,0.23836,0.12394,0.71892,0.86058,0.64482,0.21487,0,0.00104226,0.00104226,0.00104226
7,26.3604,0.24243,0.21228,0.12003,0.74321,0.87469,0.50442,0.18706,0,0.00102851,0.00102851,0.00102851
8,30.0806,0.23121,0.18669,0.11538,0.76287,0.89116,0.39196,0.17348,0,0.00101476,0.00101476,0.00101476
9,33.779,0.225,0.17511,0.11228,0.77813,0.89666,0.32698,0.16418,0,0.00100101,0.00100101,0.00100101
10,37.5054,0.22152,0.16876,0.11194,0.78314,0.90175,0.30261,0.1535,0,0.000987262,0.000987262,0.000987262
11,41.226,0.21327,0.16344,0.1089,0.784,0.89667,0.3528,0.15993,0,0.000973514,0.000973514,0.000973514
12,44.9202,0.21068,0.16371,0.10751,0.79119,0.91077,0.27332,0.14356,0,0.000959765,0.000959765,0.000959765
13,48.6382,0.20578,0.16034,0.10584,0.78592,0.90017,0.33375,0.15092,0,0.000946016,0.000946016,0.000946016
14,52.365,0.20229,0.15486,0.10401,0.76992,0.87821,0.47827,0.1577,0,0.000932268,0.000932268,0.000932268
15,56.0405,0.19531,0.15119,0.10169,0.76393,0.87979,0.56079,0.15777,0,0.000918519,0.000918519,0.000918519
16,59.781,0.19751,0.14745,0.1019,0.79159,0.89988,0.38219,0.14066,0,0.000904771,0.000904771,0.000904771
17,63.467,0.19376,0.14985,0.10051,0.79709,0.90434,0.34148,0.13765,0,0.000891022,0.000891022,0.000891022
18,67.1809,0.19218,0.14264,0.09966,0.79107,0.89545,0.40136,0.14222,0,0.000877273,0.000877273,0.000877273
19,70.8978,0.18954,0.13979,0.09967,0.79946,0.90619,0.33282,0.13339,0,0.000863525,0.000863525,0.000863525
20,74.6161,0.18953,0.14354,0.09894,0.79662,0.90672,0.32061,0.13527,0,0.000849776,0.000849776,0.000849776
21,78.2917,0.19034,0.14193,0.09945,0.81489,0.92213,0.2481,0.1229,0,0.000836027,0.000836027,0.000836027
22,82.0123,0.18702,0.13665,0.09724,0.79166,0.89682,0.39022,0.13652,0,0.000822279,0.000822279,0.000822279
23,85.7005,0.18665,0.13602,0.09753,0.81327,0.91727,0.27778,0.12347,0,0.00080853,0.00080853,0.00080853
24,89.3997,0.18425,0.13572,0.09683,0.79133,0.89242,0.45398,0.1391,0,0.000794782,0.000794782,0.000794782
25,93.0783,0.18263,0.13317,0.09642,0.8135,0.90915,0.34492,0.12567,0,0.000781033,0.000781033,0.000781033
26,96.7632,0.17542,0.13204,0.09321,0.7879,0.89113,0.47384,0.14018,0,0.000767284,0.000767284,0.000767284
27,100.484,0.17825,0.13076,0.09429,0.79778,0.90264,0.40874,0.13273,0,0.000753536,0.000753536,0.000753536
28,104.162,0.17811,0.13213,0.09465,0.79218,0.89714,0.44266,0.13755,0,0.000739787,0.000739787,0.000739787
29,107.834,0.17738,0.13156,0.09391,0.79731,0.90547,0.36822,0.13125,0,0.000726038,0.000726038,0.000726038
30,111.535,0.17279,0.1265,0.09233,0.78713,0.89396,0.46283,0.13888,0,0.00071229,0.00071229,0.00071229
31,115.235,0.17427,0.12529,0.09299,0.80199,0.90414,0.37986,0.13152,0,0.000698541,0.000698541,0.000698541
32,118.919,0.17227,0.12918,0.09193,0.80192,0.90347,0.39862,0.13076,0,0.000684793,0.000684793,0.000684793
33,122.649,0.17537,0.13453,0.09258,0.79717,0.89505,0.45168,0.13735,0,0.000671044,0.000671044,0.000671044
34,126.329,0.17456,0.1316,0.09237,0.80054,0.9021,0.4299,0.13153,0,0.000657295,0.000657295,0.000657295
35,130.003,0.16817,0.12639,0.09069,0.8107,0.91189,0.35948,0.12362,0,0.000643547,0.000643547,0.000643547
36,133.697,0.1723,0.13185,0.09142,0.79869,0.89594,0.49533,0.13133,0,0.000629798,0.000629798,0.000629798
37,137.377,0.1723,0.1285,0.09195,0.80479,0.90731,0.37116,0.12624,0,0.000616049,0.000616049,0.000616049
38,141.103,0.16417,0.11718,0.08942,0.80658,0.90796,0.37323,0.12664,0,0.000602301,0.000602301,0.000602301
39,144.798,0.16798,0.12476,0.09032,0.80534,0.90576,0.40573,0.12677,0,0.000588552,0.000588552,0.000588552
40,148.484,0.16567,0.1251,0.08969,0.79915,0.89623,0.4948,0.13329,0,0.000574804,0.000574804,0.000574804
41,152.198,0.1625,0.12045,0.08789,0.82113,0.91624,0.33957,0.11928,0,0.000561055,0.000561055,0.000561055
42,155.903,0.16807,0.12321,0.09021,0.81969,0.91552,0.34412,0.12006,0,0.000547306,0.000547306,0.000547306
43,159.619,0.16588,0.12341,0.08904,0.80619,0.90147,0.47007,0.13047,0,0.000533558,0.000533558,0.000533558
44,163.323,0.16475,0.12217,0.08894,0.79853,0.90266,0.427,0.13112,0,0.000519809,0.000519809,0.000519809
45,167.021,0.16294,0.12436,0.08805,0.80259,0.90006,0.46889,0.12795,0,0.00050606,0.00050606,0.00050606
46,170.718,0.16057,0.11917,0.08733,0.80746,0.90712,0.40891,0.12702,0,0.000492312,0.000492312,0.000492312
47,174.425,0.16272,0.12435,0.08772,0.80454,0.90113,0.47846,0.12619,0,0.000478563,0.000478563,0.000478563
48,178.161,0.16214,0.12096,0.08792,0.8217,0.91961,0.30867,0.11759,0,0.000464815,0.000464815,0.000464815
49,181.879,0.16319,0.12115,0.08758,0.80695,0.90351,0.44192,0.12502,0,0.000451066,0.000451066,0.000451066
50,185.599,0.16226,0.11797,0.08795,0.7956,0.90035,0.47491,0.13086,0,0.000437317,0.000437317,0.000437317
51,189.297,0.16399,0.1222,0.08847,0.80644,0.90686,0.40173,0.126,0,0.000423569,0.000423569,0.000423569
52,193.008,0.15682,0.12143,0.08539,0.81873,0.91536,0.3503,0.11946,0,0.00040982,0.00040982,0.00040982
53,196.731,0.16018,0.12555,0.0871,0.82296,0.9233,0.28898,0.11432,0,0.000396071,0.000396071,0.000396071
54,200.437,0.15857,0.12182,0.08623,0.80951,0.90804,0.4172,0.12647,0,0.000382323,0.000382323,0.000382323
55,204.141,0.16026,0.11794,0.08688,0.81243,0.90825,0.41142,0.12496,0,0.000368574,0.000368574,0.000368574
